CLAVE_ID,PILARES,ALCALDIA,ZONA,MODELO,EQUIPOS 8GB,INACTIVOS,% PASTA,MOUSE,TECLADOS
184_SP_TLP,SAN MIGUEL,TLALPAN,SUR PONIENTE,DELL 5090,30 / 30,0,0%,0,0
036_NT_AZC,SAN MIGUEL AMANTLA,AZCAPOTZALCO,NORTE,HP 705,9 / 31,0,0%,0,0
052_IZ_IZP,SAN MIGUEL TEOTONGO,IZTAPALAPA,ORIENTE,HP 705,8 / 33,2,0%,0,0
290_SP_TLP,SAN NICOLÁS II,TLALPAN,SUR PONIENTE,DELL 5090,20 / 20,1,0%,0,0
236_SU_TLH,SAN NICOLÁS TETELCO,TLAHUAC,SUR,DELL 5090,30 / 30,0,0%,0,0
006_PT_CUM,SAN PABLO CHIMALPA,CUAJIMALPA DE MORELOS,PONIENTE,DELL 3060,0 / 30,0,0%,0,0
179_SU_MIA,SAN PABLO OZTOTEPEC,MILPA ALTA,SUR,HP 705,10 / 36,0,0%,0,0
057_SU_MIA,SAN PEDRO ATOCPAN,MILPA ALTA,SUR,HP 705,10 / 23,0,0%,0,0
048_NT_AZC,SAN PEDRO XALPA,AZCAPOTZALCO,NORTE,HP 705,0 / 16,0,0%,0,0
023_SU_MIA,SAN SALVADOR CUAUHTENCO,MILPA ALTA,SUR,HP 280,13 / 32,0,0%,0,0
014_CO_CUH,SAN SIMÓN TOLNÁHUAC,CUAUHTEMOC,CENTRO,LENOVO 10G,10 / 25,0,0%,0,0
079_SP_COY,SANTA ANA,COYOACAN,SUR PONIENTE,HP 705,5 / 22,1,0%,0,0
185_CO_IZT,SANTA ANITA,IZTACALCO,CENTRO,HP 705,18 / 18,0,0%,0,0
237_SU_TLH,SANTA CATARINA YECAHUIZOTL,TLAHUAC,SUR,HP 705,5 / 40,0,0%,0,0
029_SU_XOC,SANTA CECILIA,XOCHIMILCO,SUR,HP 280,0 / 40,0,0%,0,0
075_IZ_IZP,SANTA CRUZ MEYEHUALCO,IZTAPALAPA,ORIENTE,HP 705,15 / 40,0,0%,0,0
257_SU_XOC,SANTA CRUZ XOCHITEPEC,XOCHIMILCO,SUR,DELL 5090,28 / 28,0,0%,0,0
040_PT_AOB,SANTA FE,ALVARO OBREGON,PONIENTE,HP 705,10 / 35,0,0%,0,0
067_PT_AOB,SANTA LUCÍA,ALVARO OBREGON,PONIENTE,HP 705,10 / 19,0,0%,0,0
216_IZ_IZP,SANTA MARÍA AZTAHUACÁN II,IZTAPALAPA,ORIENTE,HP 705,40 / 40,2,0%,0,0
209_NT_GAM,SANTA MARÍA TICOMÁN,GUSTAVO A. MADERO,NORTE,HP 705,28 / 30,2,0%,0,0
220_IZ_IZP,SANTA MARÍA TOMATLÁN,IZTAPALAPA,ORIENTE,HP 705,30 / 40,2,0%,0,0
282_PT_AOB,SANTA ROSA,ALVARO OBREGON,PONIENTE,,40 / 40,1,0%,0,0
030_SU_XOC,SANTIAGO TEPALCATLALPAN,XOCHIMILCO,SUR,HP 280,10 / 40,0,0%,0,0
033_SU_XOC,SANTIAGO TULYEHUALCO,XOCHIMILCO,SUR,HP 280,20 / 25,1,0%,0,0
238_SU_TLH,SELENE,TLAHUAC,SUR,HP 705,10 / 40,1,0%,0,0
133_CO_CUH,SEPI,CUAUHTEMOC,CENTRO,HP 705,13 / 13,1,0%,0,0
170_NT_GAM,TABLAS DE SAN AGUSTÍN,GUSTAVO A. MADERO,NORTE,HP 705,8 / 25,0,0%,0,0
289_PT_MIH,TACUBAYA,MIGUEL HIDALGO,PONIENTE,DELL 5090,37 / 37,0,0%,0,0
096_SP_COY,TAXQUEÑA,COYOACAN,SUR PONIENTE,HP 705,15 / 40,2,0%,0,0
112_IZ_IZP,TEPALCATES,IZTAPALAPA,ORIENTE,HP 705,28 / 40,0,0%,0,0
194_NT_AZC,TEPANTONGO,AZCAPOTZALCO,NORTE,DELL 5000,40 / 40,0,0%,0,0
246_SP_TLP,TEPEXIMILPA,TLALPAN,SUR PONIENTE,DELL 5000,29 / 29,0,0%,0,0
279_CO_VCA,TEPITO MORELOS,VENUSTIANO CARRANZA,CENTRO,DELL 5090,40 / 40,0,0%,0,0
065_IZ_IZP,TETECÓN,IZTAPALAPA,ORIENTE,HP 705,6 / 30,0,0%,0,0
137_CO_IZT,TEZONTLE,IZTACALCO,CENTRO,HP 705,30 / 30,2,0%,0,0
239_SU_TLH,TIERRA BLANCA,TLAHUAC,SUR,HP 705,20 / 40,0,0%,0,0
141_IZ_IZP,TIERRA Y LIBERTAD,IZTAPALAPA,ORIENTE,HP 705,10 / 40,2,0%,0,0
203_NT_GAM,TIXTLA,GUSTAVO A. MADERO,NORTE,HP 705,19 / 40,0,0%,0,0
039_SP_TLP,TIZIMÍN,TLALPAN,SUR PONIENTE,HP 705,10 / 27,0,0%,0,0
143_PT_MIH,TLACOPAN,MIGUEL HIDALGO,PONIENTE,HP 705,20 / 40,0,0%,0,0
244_SP_TLP,TLALCOLIGIA,TLALPAN,SUR PONIENTE,DELL 5000,40 / 40,5,0%,0,0
008_NT_GAM,TLALPEXCO,GUSTAVO A. MADERO,NORTE,DELL 3060,10 / 21,0,0%,0,0
110_SU_TLH,TLALTENCO,TLAHUAC,SUR,HP 705,25 / 25,0,0%,0,0
301_CO_IZT,TLÁLOC,IZTACALCO,CENTRO,DELL 5090(9) HP 705(10),10 / 19,2,0%,0,0
171_NT_GAM,TOKIO,GUSTAVO A. MADERO,NORTE,HP 705,10 / 25,1,0%,0,0
293_PT_AOB,TOLTECAS,ALVARO OBREGON,PONIENTE,DELL 5000,39 / 39,1,0%,0,0
